address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x38a6c6855ca4ad28a6a66a064437aa53df1381ee,0,0,822358,42302.78571,0,0,0,14,28,1,0,7,1,0,50,3.556464,100,100,100,29,99.581,100,0.419,8,22,0.034482759,0.933333333,0.033333333,0.856474676,0,2.071428571,44.27856242
0x38a905d71a4257c68f943b00ec4a4fde8e4305c2,1,450,98394,48268.85714,0,1643572098,33575938.08,23,7,49,0,3,34,0.012578,6.935,1.890065,0.031588,0.6,0.270409,56,13.23045695,13.2500335,0.019576547,22,9,6.125,0.122807018,0.859649123,0.565610663,0.276625609,2.434782609,2.104516779
0x38ab5cf56666ea24529f6a29ac83a8f1563d8920,0,0,5453020,210925.1195,0,1602459154,56053728.9,656,159,29,0,39,8,0,1.1,0.076431,0,2.02,0.267077,188,12.15250416,7.745245043,-4.407259114,183,3,0.18125,0.841269841,0.153439153,0.8564908,0.696319232,0.286585366,1.106254004
0x38ab6fc3acc1bc569a65065c5d00af5d4d8820b5,0,69,4008145,65176.67164,27,1644443110,20712576.86,196,67,80,0,1,63,0.219403,21.717327,4.491688,0.12,11.556224,3.41933,147,300.943089,273.5464253,-27.39666366,145,3,1.176470588,0.452702703,0.540540541,0.377872441,0.416155527,0.75,7.453643139
0x38ab7f52c7f657ac2ea7e021c9da8f229c1a2e48,1,0,0,0,0,0,0,1,1,1,0,1,1,0.249,0.249,0.249,0.25,0.25,0.25,2,0.249,0.25,0.001,1,2,0.5,0.333333333,0.333333333,0,0,2,0.1245
0x38abb0b98e75978c416d49af17cee5a66da95142,0,0,0,0,0,0,0,1,1,1,0,1,1,1.817902,1.817902,1.817902,1.854902,1.854902,1.854902,2,1.81790238,1.85490238,0.037,1,2,0.5,0.333333333,0.333333333,0,0,2,0.90895119
0x38ae1cc739ae15d2e2514134debb2e5c8a05f688,0,60,108979,7360.634146,0,1605280598,4774877.968,657,41,348,0,3,118,0,2.408308,1.009152,0.001592,1.636628,0.121411,389,41.37522427,42.25102664,0.875802372,389,1,8.285714286,0.105128205,0.892307692,0.247913358,0.611436796,0.592085236,0.354319452
0x38b0d053d47c3d734c9491f61b48b90ea5e70fea,1,0,0,0,365,1588023538,794011951.5,16,1,2,0,1,2,0.157221,0.157221,0.157221,0.004622,0.153482,0.079052,3,0.157221363,0.158103363,0.000882,2,2,1,0.25,0.5,0,0.470768066,0.1875,0.073049916
0x38b4c944c9f7ed1708c50cde487e4106397dd79a,0,3,142347,6641.972973,402,1658259139,166012005.2,25,37,10,0,6,4,0,1.774,0.150299,0.021822,1.645,0.546168,47,5.561057994,5.461682027,-0.099375967,23,9,0.263157895,0.770833333,0.208333333,0.848870047,0.595763134,1.88,0.51597929
0x38b9dafe93f0b3ab7d35ac42165b73c0f3c5fd8c,1,368,607267,140313,1761,1524702742,381181565.3,25,15,4,0,15,4,0.014649,5,0.771797,0.5,9.5,2.8975,19,11.57695204,11.59,0.01304796,11,9,0.25,0.75,0.2,0.78596285,0.59124243,0.76,2.619013338
0x38bd02a9f7a65092c78c4ebb573eba0ba6929a8a,1,0,0,0,390,1519870826,47519262.53,132,1,32,0,1,27,32.126055,32.126055,32.126055,0,4.01,1.004,33,32.12605502,32.12800801,0.001952992,10,10,16,0.029411765,0.941176471,0,0.630525559,0.25,9.852353473
0x38bff309e749b9599546ec75145badc37330ef3a,1,30,62,46,104,1541825325,770912714.5,1,2,2,0,1,1,64.999836,99.999836,82.499836,65,100,82.5,4,164.9996724,165,0.0003276,1,4,0.666666667,0.4,0.4,0.106060817,0.106060606,4,43.06598786
0x38c292668659a4414695aef12841406f46847be3,0,0,257748,17905.51899,28,1657503559,46094987.67,39,79,36,0,22,12,0,15.539899,0.74992,0.002595,12.919626,1.490745,115,59.24371008,53.66682867,-5.576881411,29,17,0.45,0.681034483,0.310344828,0.806499333,0.727863195,2.948717949,3.644149056
0x38c324e006f964349bb4b51499cd694b6a10b37d,0,0,0,0,73109,1658186166,552835041.7,8,1,3,0,1,3,0.16702,0.16702,0.16702,0.030807,0.068649,0.055911,4,0.16701977,0.16773377,0.000714,3,2,1.5,0.2,0.6,0,0.150405142,0.5,0.060047137
0x38c36d3faab64c0770af26cc6ee95d91312bc53c,1,0,0,0,160,3636245,380263.7097,137,0,31,1,0,16,0,0,0,0,0,0,32,0,0,0,32,1,31,0,0.939393939,0,2.20E-17,0.233576642,0
0x38c4a6db8306e118555303fa95efb04ffea5636e,1,5,354,228.333333,0,1642471400,39106471.64,1,3,42,0,3,38,1.17334,2.16,1.831113,0.1,1,0.130952,45,5.493339921,5.5,0.006660079,1,45,10.5,0.065217391,0.913043478,0.119740151,0.224675153,45,1.516132129
0x38c59232b0d4fa889ba2d8ff9754e3cf95aaf6a3,0,57,946,250.411765,497546,1645795516,184666790.7,188,17,9,0,2,4,0,0.031551,0.008216,0.000768,0.03575,0.017641,26,0.13966835,0.158768,0.01909965,24,3,0.5,0.62962963,0.333333333,0.659144489,0.349463908,0.138297872,0.009273075
0x38c844f72bca7e479df16d1852faccf122f3d8ed,0,0,2509146,301393.8333,486,1641597932,206836562.8,236,24,8,0,10,4,0,6.1412,0.475148,0.050409,6.213959,1.240524,32,11.40355252,9.92418811,-1.479364407,30,3,0.32,0.727272727,0.242424242,0.831249529,0.669224053,0.13559322,1.244648709
0x38d1871e8594b791571693737535fd230e054286,1,31,11790741,1141268.391,0,0,0,304,23,1,0,8,1,0,165,14.350517,0.5,0.5,0.5,24,330.0618979,0.5,-329.5618979,19,6,0.041666667,0.92,0.04,0.886689799,0,0.078947368,100.0362328
0x38d6f9c9f20175c9fc475e452f1ae70a91506f2d,0,0,2914739,22750.27789,0,1628185138,86252464.89,392,1022,19,0,30,2,0,0,0,0.025,2,1.001316,1041,0,19.025,19.025,392,130,0.018572825,0.980806142,0.018234165,-3.32E-17,0.09834704,2.655612245,5.199107331
